                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                  2.105,                 1.8623,                  2.117,                0.45528,                0.43513,                0.39861,                0.16513,                 2.0124,                 1.8646,                 2.1446,              0.0016713,              0.0016713,              0.0016713
                     85,                 2.0566,                 1.8215,                 2.1168,                0.49005,                0.46149,                0.43166,                0.18318,                 1.9761,                 1.8159,                 2.1063,              0.0016674,              0.0016674,              0.0016674
                     86,                  2.132,                 1.8652,                 2.1271,                0.55176,                0.46939,                0.49724,                0.21817,                 1.9341,                 1.7616,                 2.1045,              0.0016634,              0.0016634,              0.0016634
                     87,                 2.0483,                 1.7721,                 2.0678,                0.53031,                0.49306,                0.50386,                0.20853,                 1.9693,                 1.7435,                 2.1104,              0.0016594,              0.0016594,              0.0016594
                     88,                 2.0488,                  1.723,                  2.044,                0.51682,                0.48996,                0.48347,                0.21001,                 1.9516,                 1.7703,                 2.0734,              0.0016555,              0.0016555,              0.0016555
                     89,                 2.0495,                 1.9059,                 2.1297,                0.53185,                    0.5,                0.49564,                0.21085,                 1.9381,                 1.8068,                  2.061,              0.0016515,              0.0016515,              0.0016515
                     90,                 2.0903,                 1.7893,                 2.0787,                0.49956,                0.44304,                0.42661,                0.17403,                 2.0435,                 2.0835,                 2.1362,              0.0016476,              0.0016476,              0.0016476
                     91,                  2.089,                 1.8387,                 2.0914,                0.48508,                0.44146,                0.40665,                0.16208,                 2.1011,                  2.057,                 2.1829,              0.0016436,              0.0016436,              0.0016436
                     92,                 2.0014,                 1.7682,                 2.0427,                0.50765,                0.44937,                0.44918,                0.18628,                 2.0325,                 1.8501,                 2.1529,              0.0016396,              0.0016396,              0.0016396
                     93,                 2.0485,                 1.7916,                 2.0511,                0.54312,                0.44766,                 0.4764,                0.20948,                 1.9652,                 1.8231,                 2.1107,              0.0016357,              0.0016357,              0.0016357
                     94,                 2.0309,                 1.7408,                 2.0243,                 0.5571,                0.47547,                0.51886,                0.23429,                 1.9033,                 1.7191,                 2.0528,              0.0016317,              0.0016317,              0.0016317
                     95,                 2.0174,                 1.7858,                 2.0646,                0.54867,                0.52373,                0.52723,                0.23351,                 1.8897,                  1.694,                 2.0366,              0.0016278,              0.0016278,              0.0016278
                     96,                 2.0166,                 1.7338,                 2.0015,                0.52396,                0.48066,                0.47113,                0.20144,                 1.9425,                 1.7974,                 2.0643,              0.0016238,              0.0016238,              0.0016238
                     97,                 1.9752,                 1.7398,                  2.031,                0.51258,                0.48101,                0.45837,                0.19465,                 1.9532,                  1.795,                 2.0641,              0.0016198,              0.0016198,              0.0016198
                     98,                 2.0467,                 1.7962,                 2.0578,                0.53203,                0.49209,                0.50371,                 0.2211,                 1.9141,                 1.7292,                 2.0511,              0.0016159,              0.0016159,              0.0016159
                     99,                 2.0291,                  1.778,                 2.0215,                0.49404,                0.48359,                0.48939,                 0.2172,                 1.9192,                 1.7351,                 2.0592,              0.0016119,              0.0016119,              0.0016119
                    100,                 1.9526,                  1.703,                 2.0053,                0.53747,                    0.5,                0.50766,                0.22501,                 1.9125,                 1.6979,                 2.0298,               0.001608,               0.001608,               0.001608
                    101,                 2.0236,                 1.7369,                 2.0308,                0.53471,                0.47943,                0.49534,                0.21491,                 1.9509,                 1.7288,                 2.0554,               0.001604,               0.001604,               0.001604
                    102,                 1.9789,                 1.7347,                 2.0102,                0.51233,                0.48022,                0.49411,                0.21514,                 1.9057,                 1.7494,                  2.033,                 0.0016,                 0.0016,                 0.0016
                    103,                 2.0005,                 1.7084,                 2.0101,                0.52518,                0.48022,                0.49493,                0.21972,                 1.9254,                  1.766,                 2.0381,              0.0015961,              0.0015961,              0.0015961
                    104,                 1.9779,                 1.7312,                 1.9873,                0.54115,                0.51028,                0.49607,                0.21922,                 1.9307,                 1.7322,                 2.0379,              0.0015921,              0.0015921,              0.0015921
                    105,                 1.9652,                 1.6967,                 1.9785,                0.61712,                 0.5182,                0.55539,                0.25628,                 1.8445,                 1.6323,                  1.981,              0.0015882,              0.0015882,              0.0015882
                    106,                 1.9901,                 1.6285,                 1.9714,                0.59617,                0.49209,                0.55829,                0.25873,                 1.8371,                 1.6304,                  1.968,              0.0015842,              0.0015842,              0.0015842
                    107,                 1.9889,                 1.6675,                 1.9786,                0.59106,                0.54509,                0.56645,                0.26529,                  1.839,                 1.6092,                 1.9568,              0.0015802,              0.0015802,              0.0015802
                    108,                 1.9772,                  1.608,                 1.9454,                0.60118,                0.52611,                0.55992,                0.26256,                 1.8607,                 1.6356,                 1.9573,              0.0015763,              0.0015763,              0.0015763
                    109,                 1.9493,                 1.6355,                 1.9729,                0.57248,                 0.5087,                0.54152,                0.25889,                 1.8338,                 1.6542,                 1.9578,              0.0015723,              0.0015723,              0.0015723
                    110,                 1.9857,                 1.7582,                 2.0396,                0.56358,                0.48325,                0.52358,                0.24052,                 1.8999,                 1.6666,                 2.0217,              0.0015684,              0.0015684,              0.0015684
                    111,                 1.9722,                 1.7292,                 2.0394,                0.59646,                0.48734,                0.54709,                0.25884,                 1.8508,                 1.6391,                   1.97,              0.0015644,              0.0015644,              0.0015644
                    112,                 1.9096,                 1.6719,                 1.9894,                 0.5989,                0.54575,                0.58078,                0.28106,                 1.7694,                 1.5654,                  1.913,              0.0015604,              0.0015604,              0.0015604
                    113,                 1.9433,                 1.6392,                 1.9503,                0.60062,                0.53639,                0.58825,                 0.2812,                 1.7713,                 1.5528,                 1.9286,              0.0015565,              0.0015565,              0.0015565
                    114,                 1.9405,                 1.6729,                 1.9767,                0.58506,                0.50554,                0.55598,                0.25854,                 1.8155,                 1.6017,                 1.9532,              0.0015525,              0.0015525,              0.0015525
                    115,                 1.9423,                 1.6074,                 1.9438,                0.57932,                0.52512,                 0.5683,                0.26763,                 1.7954,                 1.5749,                 1.9434,              0.0015486,              0.0015486,              0.0015486
                    116,                  1.906,                 1.6461,                 1.9873,                0.60913,                0.56092,                0.60473,                0.29646,                  1.756,                 1.5395,                 1.9059,              0.0015446,              0.0015446,              0.0015446
                    117,                 1.9197,                 1.6282,                 1.9386,                0.58704,                0.53006,                0.57008,                0.27984,                 1.8009,                 1.5865,                  1.945,              0.0015406,              0.0015406,              0.0015406
                    118,                  1.958,                 1.6633,                  1.989,                0.64086,                0.52657,                0.58044,                0.27736,                 1.8108,                 1.5607,                 1.9623,              0.0015367,              0.0015367,              0.0015367
                    119,                  1.923,                  1.704,                 2.0036,                0.61058,                0.56487,                0.58934,                0.28513,                 1.7741,                  1.547,                  1.937,              0.0015327,              0.0015327,              0.0015327
                    120,                 1.9182,                 1.6089,                 1.9364,                0.54393,                 0.5567,                0.54471,                0.26109,                 1.8224,                 1.5944,                  1.965,              0.0015288,              0.0015288,              0.0015288
                    121,                 1.9464,                 1.5953,                 1.9523,                  0.567,                0.55696,                0.57032,                0.27466,                 1.8155,                  1.558,                 1.9499,              0.0015248,              0.0015248,              0.0015248
                    122,                 1.8912,                  1.606,                 1.9617,                0.63453,                 0.5538,                0.61081,                0.29219,                 1.7717,                 1.4981,                 1.9158,              0.0015208,              0.0015208,              0.0015208
                    123,                 1.8739,                 1.5806,                 1.9549,                0.62169,                0.58307,                0.61447,                0.29761,                  1.768,                 1.4832,                 1.9104,              0.0015169,              0.0015169,              0.0015169
                    124,                 1.8683,                 1.5387,                 1.8896,                0.58284,                0.55379,                0.56737,                0.27986,                 1.7647,                 1.5935,                  1.893,              0.0015129,              0.0015129,              0.0015129
                    125,                 1.8971,                 1.6175,                 1.9531,                0.61098,                0.58307,                0.61506,                0.30835,                 1.7358,                 1.5217,                 1.8737,               0.001509,               0.001509,               0.001509
                    126,                 1.8805,                 1.6128,                 1.9239,                0.66109,                0.56566,                0.62901,                0.31006,                 1.7431,                 1.5157,                 1.9004,               0.001505,               0.001505,               0.001505
                    127,                 1.8942,                 1.6358,                 1.9269,                0.69495,                0.57991,                 0.6541,                0.32992,                  1.701,                  1.458,                 1.8758,               0.001501,               0.001501,               0.001501
                    128,                 1.8961,                 1.6558,                  1.985,                0.66611,                0.58861,                0.65292,                0.32921,                 1.7215,                   1.46,                 1.8834,              0.0014971,              0.0014971,              0.0014971
